SRC_obs,SubId,Sub_Region,Obs_NM,POINT_X,POINT_Y
US,1030404,0001_0053,7263530,-92.43458333,34.65
US,1091428,0001_0039,3592500,-88.12291667,34.655
US,1092510,0001_0039,357568980,-86.55375,34.66416667
US,1030136,0001_0053,7263620,-92.15708333,34.6675
US,1090978,0001_0039,3586500,-87.31708333,34.67166667
US,1110864,0001_0063,7077800,-91.31625,34.68666667
US,1090999,0001_0039,3575950,-86.59625,34.69
US,1090755,0001_0039,3575980,-86.62708333,34.6925
US,1092587,0001_0039,3575830,-86.69958333,34.6975
US,1031978,0001_0053,7263555,-92.34375,34.7075
US,1093432,0001_0039,3567129,-85.43291667,34.71583333
US,1030175,0001_0053,7263605,-92.21375,34.71916667
US,1030485,0001_0053,7263580,-92.35875,34.72
US,1002392,0001_0067,7277500,-89.98791667,34.72083333
US,1092257,0001_0039,3575933,-86.60208333,34.72333333
US,1092191,0001_0039,3575890,-86.59291667,34.7275
US,1002610,0001_0067,7269000,-89.02625,34.73416667
US,1031688,0001_0053,7264000,-91.91708333,34.73666667
US,1090782,0001_0039,3575100,-86.44708333,34.75
US,1030162,0001_0053,7263500,-92.26625,34.75083333
US,1092443,0001_0039,3576250,-86.82208333,34.75166667
US,1091310,0001_0039,3589250,-87.60208333,34.75416667
US,1084414,0001_0002,7231965,-95.75041667,34.75583333
US,1002358,0001_0067,7278500,-90.12541667,34.7575
US,1002731,0001_0067,7276500,-89.69541667,34.76
US,1090778,0001_0039,3577225,-86.94625,34.76416667
US,1090977,0001_0039,3587000,-87.37125,34.76666667
US,1031443,0001_0053,7247250,-94.51208333,34.77333333
US,1091140,0001_0039,3589500,-87.66875,34.7825
US,1088817,0001_0002,7229427,-96.71208333,34.785
US,1093939,0001_0039,3558000,-84.23958333,34.78916667
US,1110961,0001_0063,7077000,-91.44541667,34.79
US,1030082,0001_0053,7263450,-92.35791667,34.79333333
US,1084357,0001_0002,7231975,-95.65458333,34.80166667
US,1092534,0001_0039,3576400,-86.88375,34.8025
US,1091571,0001_0039,3590000,-87.70041667,34.80833333
US,1092431,0001_0039,3575000,-86.48291667,34.8225
US,1001977,0001_0067,7277000,-89.82291667,34.83
US,1002855,0001_0067,7276000,-89.82541667,34.84083333
US,1089098,0001_0039,3550500,-83.93541667,34.84166667
US,1111088,0001_0063,7077930,-91.00958333,34.84583333
US,1089056,0001_0039,3551000,-83.99375,34.85166667
US,1084345,0001_0002,7231990,-95.65458333,34.8525
US,1030534,0001_0053,7261500,-93.65625,34.8725
US,1030696,0001_0053,7263295,-92.77458333,34.87583333
US,1089041,0001_0039,3551500,-84.06541667,34.87833333
US,1030695,0001_0053,7263296,-92.68541667,34.87916667
US,1030752,0001_0053,7247015,-94.48375,34.88
US,1030518,0001_0053,72632962,-92.67958333,34.88166667
US,1093713,0001_0039,3544970,-83.72208333,34.885
US,1089294,0001_0039,3559000,-84.28458333,34.8875
US,1092647,0001_0039,3568933,-85.46291667,34.8975
US,1093720,0001_0039,3545000,-83.71791667,34.905
US,1002854,0001_0067,7275900,-89.75375,34.9075
US,1030633,0001_0053,7263000,-93.05541667,34.91166667
US,1031195,0001_0053,7247500,-95.15375,34.915
US,1093762,0001_0039,3545500,-83.69875,34.91583333
US,1031140,0001_0053,7247000,-94.29875,34.91833333
US,1031029,0001_0053,7247450,-95.25458333,34.92333333
US,1030728,0001_0053,72632982,-92.59291667,34.93
US,1005610,0001_0062,7029300,-88.59708333,34.93166667
US,1090853,0001_0039,3572110,-85.91708333,34.93416667
US,1031122,0001_0053,7247550,-95.03291667,34.94
US,1030946,0001_0053,7248500,-94.71375,34.94
US,1088976,0001_0039,3552000,-84.02375,34.94083333
